Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Subject_or_Unit_1,Subject_Objective_1,Subject_Description_1,Subject_or_Unit_2,Subject_Objective_2,Subject_Description_2,Subject_or_Unit_3,Subject_Objective_3,Subject_Description_3,Subject_or_Unit_4,Subject_Objective_4,Subject_Description_4,Subject_or_Unit_5,Subject_Objective_5,Subject_Description_5,Subject_or_Unit_6,Subject_Objective_6,Subject_Description_6,Subject_or_Unit_7,Subject_Objective_7,Subject_Description_7,Subject_or_Unit_8,Subject_Objective_8,Subject_Description_8,Subject_or_Unit_9,Subject_Objective_9,Subject_Description_9,Subject_or_Unit_10,Subject_Objective_10,Subject_Description_10,Subject_or_Unit_11,Subject_Objective_11,Subject_Description_11,Subject_or_Unit_12,Subject_Objective_12,Subject_Description_12,Subject_or_Unit_13,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_14,Subject_Objective_14,Subject_Description_14,Subject_or_Unit_15,Subject_Objective_15,Subject_Description_15,Subject_or_Unit_16,Subject_Objective_16,Subject_Description_16,Subject_or_Unit_17,Subject_Objective_17,Subject_Description_17,Subject_or_Unit_18,Subject_Objective_18,Subject_Description_18,Subject_or_Unit_19,Subject_Objective_19,Subject_Description_19,Subject_or_Unit_20,Subject_Objective_20,Subject_Description_20,Subject_or_Unit_21,Subject_Objective_21,Subject_Description_21,Subject_or_Unit_22,Subject_Objective_22,Subject_Description_22,Subject_or_Unit_23,Subject_Objective_23,Subject_Description_23,Subject_or_Unit_24,Subject_Objective_24,Subject_Description_24,Subject_or_Unit_25,Subject_Objective_25,Subject_Description_25,Subject_or_Unit_26,Subject_Objective_26,Subject_Description_26,Subject_or_Unit_27,Subject_Objective_27,Subject_Description_27,Subject_or_Unit_28,Subject_Objective_28,Subject_Description_28,Subject_or_Unit_29,Subject_Objective_29,Subject_Description_29,Subject_or_Unit_30,Subject_Objective_30,Subject_Description_30,Subject_or_Unit_31,Subject_Objective_31,Subject_Description_31,Subject_or_Unit_32,Subject_Objective_32,Subject_Description_32,Subject_or_Unit_33,Subject_Objective_33,Subject_Description_33,Subject_or_Unit_34,Subject_Objective_34,Subject_Description_34,Subject_or_Unit_35,Subject_Objective_35,Subject_Description_35,Subject_or_Unit_36,Subject_Objective_36,Subject_Description_36,Subject_or_Unit_37,Subject_Objective_37,Subject_Description_37,Subject_or_Unit_38,Subject_Objective_38,Subject_Description_38,Subject_or_Unit_39,Subject_Objective_39,Subject_Description_39,Subject_or_Unit_40,Subject_Objective_40,Subject_Description_40
PG,CQ University,Melbourne,Master of Research - CL80,Engineering,Not available for 2021,,AUD,year,2,Years,yes,yes,IELTS,,,6.5,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fmaster-of-research&auth=TLpOTc%2FF2XI%2FbPXQk7wxWg&profile=_default&rank=8&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,English,A,CQUniversity's Master of Research is a course of supervised research and study leading to the submission of a thesis which makes a contribution to knowledge.,,Australia,yes,yes,no,yes,no,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,CQ University,Perth,Master of Research - CL80,Engineering,Not available for 2021,,AUD,year,2,Years,yes,yes,IELTS,,,6.5,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fmaster-of-research&auth=TLpOTc%2FF2XI%2FbPXQk7wxWg&profile=_default&rank=8&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,English,A,CQUniversity's Master of Research is a course of supervised research and study leading to the submission of a thesis which makes a contribution to knowledge.,,Australia,yes,yes,no,yes,no,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,CQ University,Adelaide,Master of Research - CL80,Engineering,Not available for 2021,,AUD,year,2,Years,yes,yes,IELTS,,,6.5,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fmaster-of-research&auth=TLpOTc%2FF2XI%2FbPXQk7wxWg&profile=_default&rank=8&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,English,A,CQUniversity's Master of Research is a course of supervised research and study leading to the submission of a thesis which makes a contribution to knowledge.,,Australia,yes,yes,no,yes,no,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,CQ University,Noosa,Master of Research - CL80,Engineering,Not available for 2021,,AUD,year,2,Years,yes,yes,IELTS,,,6.5,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fmaster-of-research&auth=TLpOTc%2FF2XI%2FbPXQk7wxWg&profile=_default&rank=8&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,English,A,CQUniversity's Master of Research is a course of supervised research and study leading to the submission of a thesis which makes a contribution to knowledge.,,Australia,yes,yes,no,yes,no,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,CQ University,Rockhampton,Graduate Certificate in Information Systems - CC29,Computer Science & Information Technology,Not available for 2021,,AUD,year,6,Months,yes,yes,IELTS,,,6.5,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-certificate-in-information-systems&auth=Wd%2FZC1UtUjhA2YDumWMFGw&profile=_default&rank=9&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,English,A,Study the Graduate Certificate in Information Systems and equip yourself with the skills to solve and manage information systems problems.,,Australia,yes,yes,no,yes,no,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,CQ University,Online,Graduate Certificate in Information Systems - CC29,Computer Science & Information Technology,Not available for 2021,,AUD,year,6,Months,yes,yes,IELTS,,,6.5,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-certificate-in-information-systems&auth=Wd%2FZC1UtUjhA2YDumWMFGw&profile=_default&rank=9&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,English,A,Study the Graduate Certificate in Information Systems and equip yourself with the skills to solve and manage information systems problems.,,Australia,yes,yes,no,yes,no,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,CQ University,Brisbane,Graduate Certificate in Information Systems - CC29,Computer Science & Information Technology,Not available for 2021,,AUD,year,6,Months,yes,yes,IELTS,,,6.5,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-certificate-in-information-systems&auth=Wd%2FZC1UtUjhA2YDumWMFGw&profile=_default&rank=9&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,English,A,Study the Graduate Certificate in Information Systems and equip yourself with the skills to solve and manage information systems problems.,,Australia,yes,yes,no,yes,no,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,CQ University,Sydney,Graduate Certificate in Information Systems - CC29,Computer Science & Information Technology,Not available for 2021,,AUD,year,6,Months,yes,yes,IELTS,,,6.5,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-certificate-in-information-systems&auth=Wd%2FZC1UtUjhA2YDumWMFGw&profile=_default&rank=9&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,English,A,Study the Graduate Certificate in Information Systems and equip yourself with the skills to solve and manage information systems problems.,,Australia,yes,yes,no,yes,no,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,CQ University,Melbourne,Graduate Certificate in Information Systems - CC29,Computer Science & Information Technology,Not available for 2021,,AUD,year,6,Months,yes,yes,IELTS,,,6.5,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-certificate-in-information-systems&auth=Wd%2FZC1UtUjhA2YDumWMFGw&profile=_default&rank=9&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,English,A,Study the Graduate Certificate in Information Systems and equip yourself with the skills to solve and manage information systems problems.,,Australia,yes,yes,no,yes,no,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,CQ University,Rockhampton,Graduate Certificate in Information Technology - CC28,Computer Science & Information Technology,Not available for 2021,,AUD,year,6,Months,yes,yes,IELTS,,,6.5,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-certificate-in-information-technology&auth=ODG3h00k1HfqzRdw8rs2tw&profile=_default&rank=10&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,English,A,By studying the Graduate Certificate in Information Technology you will gain a broad understanding of a range of areas within the field of information technology.,,Australia,yes,yes,no,yes,no,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,CQ University,Online,Graduate Certificate in Information Technology - CC28,Computer Science & Information Technology,Not available for 2021,,AUD,year,6,Months,yes,yes,IELTS,,,6.5,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-certificate-in-information-technology&auth=ODG3h00k1HfqzRdw8rs2tw&profile=_default&rank=10&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,English,A,By studying the Graduate Certificate in Information Technology you will gain a broad understanding of a range of areas within the field of information technology.,,Australia,yes,yes,no,yes,no,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,CQ University,Brisbane,Graduate Certificate in Information Technology - CC28,Computer Science & Information Technology,Not available for 2021,,AUD,year,6,Months,yes,yes,IELTS,,,6.5,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-certificate-in-information-technology&auth=ODG3h00k1HfqzRdw8rs2tw&profile=_default&rank=10&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,English,A,By studying the Graduate Certificate in Information Technology you will gain a broad understanding of a range of areas within the field of information technology.,,Australia,yes,yes,no,yes,no,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,CQ University,Sydney,Graduate Certificate in Information Technology - CC28,Computer Science & Information Technology,Not available for 2021,,AUD,year,6,Months,yes,yes,IELTS,,,6.5,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-certificate-in-information-technology&auth=ODG3h00k1HfqzRdw8rs2tw&profile=_default&rank=10&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,English,A,By studying the Graduate Certificate in Information Technology you will gain a broad understanding of a range of areas within the field of information technology.,,Australia,yes,yes,no,yes,no,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,CQ University,Melbourne,Graduate Certificate in Information Technology - CC28,Computer Science & Information Technology,Not available for 2021,,AUD,year,6,Months,yes,yes,IELTS,,,6.5,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-certificate-in-information-technology&auth=ODG3h00k1HfqzRdw8rs2tw&profile=_default&rank=10&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,English,A,By studying the Graduate Certificate in Information Technology you will gain a broad understanding of a range of areas within the field of information technology.,,Australia,yes,yes,no,yes,no,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,CQ University,Online,Graduate Diploma of Paramedic Science (Critical Care) - CC70,Computer Science & Information Technology,Not available for 2021,,AUD,year,1,Year,yes,yes,IELTS,,,6.5,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-diploma-of-paramedic-science-critical-care&auth=DVwF2nHWzAo8Sa6GPbfqNg&profile=_default&rank=11&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,English,D,"The Graduate Diploma of Paramedic Science (Critical Care) is an innovative and practical course that aims to ensure that you can provide essential services in critical care paramedic practice, including aeromedical, retrieval and tactical environments.",,Australia,yes,no,no,no,no,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,CQ University,Online,Graduate Certificate in Domestic and Family Violence Practice - CV74,Humanities and Social Science,Not available for 2021,,AUD,year,6,Months,yes,yes,IELTS,,,6.5,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-certificate-in-domestic-and-family-violence-practice&auth=yd7qdP5c2xCXdqpzxSxncQ&profile=_default&rank=12&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,English,A,The Graduate Certificate in Domestic and Family Violence Practice enables you to develop specialised industry-related knowledge and skills to respond to domestic and family violence.,,Australia,yes,no,no,no,no,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,CQ University,Online,Master of Business Administration (Global) - CL97,Business & Commerce & Finance & Accounting,Not available for 2021,,AUD,year,2,Years,yes,no,IELTS,,,6.5,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fmaster-of-business-administration-global&auth=yISDUi%2FeHZdBrditaDqFbg&profile=_default&rank=49&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,English,A,"CQUniversity's Master of Business Administration (Global) is ideal for students from different countries, seeking career advancement and future employment opportunities. The MBA (Global) will enhance your understanding and application of best-practice management and business knowledge, to improve organisational effectiveness from a strategic and cross-cultural perspective.",,Australia,yes,yes,no,yes,no,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,CQ University,Brisbane,Master of Business Administration (Global) - CL97,Business & Commerce & Finance & Accounting,Not available for 2021,,AUD,year,2,Years,yes,no,IELTS,,,6.5,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fmaster-of-business-administration-global&auth=yISDUi%2FeHZdBrditaDqFbg&profile=_default&rank=49&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,English,A,"CQUniversity's Master of Business Administration (Global) is ideal for students from different countries, seeking career advancement and future employment opportunities. The MBA (Global) will enhance your understanding and application of best-practice management and business knowledge, to improve organisational effectiveness from a strategic and cross-cultural perspective.",,Australia,yes,yes,no,yes,no,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,CQ University,Sydney,Master of Business Administration (Global) - CL97,Business & Commerce & Finance & Accounting,Not available for 2021,,AUD,year,2,Years,yes,no,IELTS,,,6.5,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fmaster-of-business-administration-global&auth=yISDUi%2FeHZdBrditaDqFbg&profile=_default&rank=49&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,English,A,"CQUniversity's Master of Business Administration (Global) is ideal for students from different countries, seeking career advancement and future employment opportunities. The MBA (Global) will enhance your understanding and application of best-practice management and business knowledge, to improve organisational effectiveness from a strategic and cross-cultural perspective.",,Australia,yes,yes,no,yes,no,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
